PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Covestro LLC (Covestro AG),Germany/Covestro AG,"$48,000 ","$12,500 ","$35,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$64,500 ","$22,500 ","$42,000 "
CRH Americas (CRH PLC),Ireland/CRH PLC,"$566,500 ","$200,500 ","$366,000 "
CSL Behring,Australia/CSL Ltd,"$90,600 ","$25,000 ","$65,600 "
Cumberland Farms (EG Group),UK/EG Group,"$7,800 ","$7,800 ",$0 
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500 ",$0 ,"$2,500 "
Delhaize America,Belgium/Ahold Delhaize,"$37,000 ","$12,000 ","$25,000 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0 ,$0 ,$0 
Diageo North America (Diageo PLC),UK/Diageo PLC,"$50,563 ","$29,095 ","$21,468 "
Direct Energy Inc,UK/Centrica Plc,"$27,000 ","$17,000 ","$10,000 "
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$51,500 ","$23,000 ","$28,500 "
EDF Renewables (EDF Group),France/EDF Group,"$44,000 ","$24,000 ","$20,000 "
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$23,000 ","$10,000 ","$13,000 "
Eisai Inc,Japan/Eisai Co Ltd,"$20,300 ","$7,500 ","$12,800 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$55,450 ","$9,100 ","$46,350 "
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$73,000 ","$35,500 ","$37,500 "
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$47,500 ","$13,500 ","$34,000 "
EMD Serono Inc,Germany/Merck KGaA,"$174,500 ","$74,500 ","$100,000 "
Empire District Electric (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,"$13,500 ","$4,000 ","$9,500 "
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$50,500 ","$21,500 ","$29,000 "
Enbridge Inc,Canada/Enbridge Inc,"$112,000 ","$31,000 ","$81,000 "
Endo Pharmaceuticals,Ireland/Endo International,"$165,500 ","$72,000 ","$93,500 "
ENGIE North America,France/ENGIE,"$11,500 ","$6,000 ","$5,500 "
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$66,000 ","$33,000 ","$33,000 "
Essent US Holdings,UK/Essent Group,"$16,500 ","$10,500 ","$6,000 "
Experian,UK/Experian,"$727,500 ","$269,500 ","$458,000 "
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$236,500 ","$94,000 ","$142,500 "
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$24,750 ","$9,500 ","$15,250 "
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$75,500 ","$24,000 ","$51,500 "
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$3,469 ","$3,169 ",$300 
Framatome (EDF Group),France/EDF Group,"$66,000 ","$34,000 ","$32,000 "
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$496,500 ","$258,000 ","$238,500 "
G4S Secure Solutions,UK/G4S plc,"$45,000 ","$5,000 ","$40,000 "
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$49,000 ","$11,500 ","$37,500 "
GE Appliances,China/Haier Group,"$36,000 ","$7,500 ","$28,500 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$458,000 ","$228,500 ","$229,500 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,"$2,500 ",$0 ,"$2,500 "
Genesee & Wyoming (Brookfield Asset Management),Canada/Brookfield Asset Management,"$111,395 ","$66,714 ","$44,681 "
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$4,000 ",$0 ,"$4,000 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0 ,$0 ,$0 
Glanbia Performance Nutrition (Glanbia PLC),Ireland/Glanbia plc,$0 ,$0 ,$0 
GlaxoSmithKline,UK/GlaxoSmithKline,"$199,000 ","$77,000 ","$122,000 "
Glover Park Group (WPP plc),UK/WPP plc,"$135,780 ","$98,780 ","$37,000 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$17,000 ","$5,500 ","$11,500 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0 ,$0 ,$0 
Greyhound Lines,UK/FirstGroup PLC,"$13,000 ","$9,500 ","$3,500 "
Hannover Life Reassurance Co,Germany/Hannover Re,"$5,000 ","$2,500 ","$2,500 "
Headwaters Inc,Australia/Boral Ltd,"$23,000 ","$4,000 ","$19,000 "
Heineken USA,Netherlands/L'Arche Green NV,"$47,500 ","$25,500 ","$22,000 "
Herbalife International of America,UK/Herbalife Nutrition,"$104,000 ","$59,000 ","$45,000 "
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$57,000 ","$13,500 ","$43,500 "
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$156,500 ","$71,500 ","$85,000 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$2,000 ",$0 ,"$2,000 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$192,500 ","$89,500 ","$103,000 "
IBI Group Engineering Services,Canada/IBI Group,$0 ,$0 ,$0 
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$20,500 ","$11,000 ","$9,500 "
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$45,800 ","$27,300 ","$18,500 "
Infineon Technologies,Germany/Infineon Technologies AG,"$25,750 ","$16,000 ","$9,750 "
Intelsat US,Luxembourg/Intelsat Holdings,"$16,500 ","$8,500 ","$8,000 "
Intergraph Corp,Sweden/Hexagon AB,"$4,800 ",$0 ,"$4,800 "
Ipsen Biopharmaceuticals,France/Ipsen SA,$0 ,$0 ,$0 
ITG Brands,UK/Imperial Brands,"$86,500 ","$14,000 ","$71,500 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$110,500 ","$30,000 ","$80,500 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$201,000 ","$59,000 ","$142,000 "
JBS USA,Brazil/JBS SA,"$125,500 ","$18,000 ","$107,500 "
John Hancock Life Insurance,Canada/Manulife Financial,"$100,500 ","$54,500 ","$46,000 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$276,400 ","$129,400 ","$147,000 "
Komatsu Mining,Japan/Komatsu Ltd,"$13,500 ","$4,000 ","$9,500 "
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,"$5,500 ","$3,000 ","$2,500 "
Lehigh Hanson,Germany/HeidelbergCement AG,"$173,000 ","$26,000 ","$147,000 "
Leonardo DRS,Italy/Leonardo SpA,"$222,000 ","$85,000 ","$137,000 "
Lincare Holdings (Linde plc),UK/Linde plc,"$12,000 ","$1,000 ","$11,000 "
Linde North America (Linde plc),UK/Linde plc,$0 ,$0 ,$0 
Linde plc (Linde plc),UK/Linde Plc,"$14,000 ","$11,000 ","$3,000 "
Livanova USA,UK/Livanova Plc,"$4,500 ",$0 ,"$4,500 "
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$4,000 ",$0 ,"$4,000 "
LSEG US,UK/London Stock Exchange Group,"$38,000 ","$25,500 ","$12,500 "
Lundbeck Inc,Denmark/H Lundbeck A/S,"$106,000 ","$55,500 ","$50,500 "
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$112,000 ","$26,500 ","$85,500 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$44,500 ","$27,500 ","$17,000 "
Magnolia LNG (Glenfarne Group),Australia/Glenfarne Group,"$5,000 ",$0 ,"$5,000 "
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$67,500 ","$18,000 ","$49,500 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$2,500 ",$0 ,"$2,500 "
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$161,000 ","$80,000 ","$81,000 "
MBDA Inc,UK/MBDA,$0 ,$0 ,$0 
Medtronic Inc,Ireland/Medtronic Plc,"$245,000 ","$142,000 ","$103,000 "
Messer North America,Germany/Messer Group,"$44,500 ","$21,500 ","$23,000 "
Mitsubishi Power (Mitsubishi Heavy Industries),Japan/Mitsubishi Heavy Industries,"$6,000 ","$1,000 ","$5,000 "
Molson Coors Beverage Co (Molson Coors Brewing),Canada/Molson Coors Brewing,"$93,000 ","$30,000 ","$63,000 "
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,$0 ,$0 ,$0 
Munich American Reassurance,Germany/Munich Re Group,"$7,500 ","$5,000 ","$2,500 "
Nammo Inc (Nammo AS),Norway/Nammo AS,"$2,500 ","$1,250 ","$1,250 "
Nammo Talley Inc (Nammo AS),Norway/Nammo AS,"$4,750 ","$2,250 ","$2,500 "
National Grid USA (National Grid plc),UK/National Grid plc,"$42,000 ","$31,000 ","$11,000 "
Natixis Investment Managers,France/Groupe BPCE,"$4,011 ","$1,000 ","$3,011 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$43,250 ","$13,500 ","$29,750 "
Nomura Holding America,Japan/Nomura Holdings,"$102,500 ","$50,000 ","$52,500 "
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,"$1,200 ",$0 ,"$1,200 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$290,000 ","$141,000 ","$149,000 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$414,582 ","$224,927 ","$189,655 "
Novocure Inc,UK/Novocure,"$65,600 ","$16,000 ","$49,600 "
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$49,900 ","$23,400 ","$26,500 "
Orano USA (Orano Group),France/Orano Group,"$1,500 ",$0 ,"$1,500 "
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$59,250 ","$34,750 ","$24,500 "
Permobil Inc (Investor AB),Sweden/Investor AB,"$5,000 ",$0 ,"$5,000 "
Pernod Ricard USA,France/Pernod Ricard SA,"$13,500 ","$4,500 ","$9,000 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$4,000 ",$500 ,"$3,500 "
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$70,000 ","$35,000 ","$35,000 "
Philips Electronics North America (Philips),Netherlands/Philips,"$151,000 ","$78,500 ","$72,500 "
Prime Policy Group (WPP plc),UK/WPP plc,"$56,000 ","$19,000 ","$36,500 "
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$199,900 ","$31,000 ","$168,900 "
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$42,500 ","$2,000 ","$40,500 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$7,388 ",$0 ,"$7,388 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$60,500 ","$38,500 ","$22,000 "
Recurrent Energy,Canada/Canadian Solar,"$5,000 ",$0 ,"$5,000 "
RELX Inc,UK/RELX Group,"$244,000 ","$110,000 ","$134,000 "
Resolute FP US,Canada/Resolute Forest Products,"$88,000 ","$15,500 ","$72,500 "
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$386,460 ","$66,500 ","$319,960 "
Rio Tinto America,UK/Rio Tinto Group,"$13,000 ","$7,500 ","$5,500 "
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$43,500 ","$12,500 ","$31,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$258,500 ","$97,500 ","$161,000 "
Sabic Innovative Plastics,Saudi Arabia/SABIC,"$5,500 ","$2,000 ","$3,500 "
Safelite Group,Belgium/D'Ieteren SA,"$4,800 ","($1,000)","$5,800 "
Samsung Electronics America,South Korea/Samsung Group,"$297,000 ","$171,000 ","$126,000 "
Sanofi US (Sanofi),France/Sanofi,"$298,500 ","$114,000 ","$184,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,"$114,500 ","$53,000 ","$61,500 "
SAP America,Germany/SAP SE,"$30,500 ","$21,000 ","$9,500 "
Schwan's Co,South Korea/CJ CheilJedang,"$194,000 ","$71,000 ","$123,000 "
Securitas Security Services USA,Sweden/Securitas AB,$0 ,$0 ,$0 
Serco Inc,UK/Serco Group,"$141,500 ","$71,500 ","$70,000 "
Shell Oil,Netherlands/Royal Dutch Shell,"$5,000 ","$1,000 ","$4,000 "
Shire Holdings US (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"($12,500)","($1,500)","($11,000)"
Siemens Corp,Germany/Siemens AG,"$127,250 ","$76,750 ","$50,500 "
Smith & Nephew,UK/Smith & Nephew Plc,"$93,500 ","$39,000 ","$54,500 "
Smithfield Foods,China/WH Group,"$95,500 ","$25,000 ","$70,500 "
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$65,500 ","$30,500 ","$35,000 "
Sodexo Inc,France/Sodexo,"$3,000 ",$0 ,"$3,000 "
Solvay America,Belgium/Solvay SA,"$34,000 ","$12,500 ","$21,500 "
Sony Music Entertainment (Sony Corp),Japan/Sony Corp,"$12,500 ","$7,500 ","$5,000 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$93,500 ","$63,000 ","$30,500 "
Spark Therapeutics (Roche Holdings),Switzerland/Roche Holdings,"$11,500 ","$4,500 ","$7,000 "
SSAB Americas,Sweden/SSAB AB,"$27,000 ","$7,500 ","$19,500 "
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,"$3,500 ",$0 ,"$3,500 "
Steris Corp,Ireland/Steris PLC,"$72,750 ","$12,500 ","$60,250 "
SUEZ Water,France/SUEZ Environnement,"$5,500 ","$4,500 ","$1,000 "
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$112,500 ","$66,500 ","$43,500 "
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$88,000 ","$41,000 ","$47,000 "
Sunpower Corp,France/Total SA,"$24,000 ","$23,500 ",$500 
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$3,500 ",$0 ,"$3,500 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$30,500 ","$17,500 ","$13,000 "
Syngenta Corp,China/ChemChina,"$143,000 ","$61,000 ","$82,000 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$136,000 ","$66,000 ","$70,000 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$14,750 ","$3,500 ","$11,250 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$171,200 ","$80,200 ","$91,000 "
TE Connectivity,Switzerland/TE Connectivity,"$114,500 ","$61,000 ","$53,500 "
TECO Energy,Canada/Emera Inc,"$31,000 ","$8,500 ","$22,500 "
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$77,300 ","$44,300 ","$33,000 "
Toyota Motor North America,Japan/Toyota Motor Corp,"$1,161,642 ","$583,000 ","$578,642 "
Trane Technologies,Ireland/Trane Technologies,"$6,800 ","$2,000 ","$4,800 "
TransAmerica,Netherlands/Aegon NV,"$504,000 ","$243,500 ","$259,500 "
Transcanada USA Services (TC Energy),Canada/TC Energy,"$142,500 ","$58,500 ","$84,000 "
Travelport Inc,UK/Travelport Ltd,$0 ,$0 ,$0 
UBS Americas,Switzerland/UBS AG,"$1,615,000 ","$802,500 ","$812,500 "
UCB Inc (UCB SA),Belgium/UCB SA,"$35,000 ","$13,500 ","$21,500 "
Ultra Electronics USA,UK/Ultra Electronics,"$41,500 ","$14,000 ","$27,500 "
Universal Music Group (Vivendi),France/Vivendi,"$128,750 ","$73,000 ","$55,750 "
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$14,000 ","$8,500 ","$5,500 "
VNA Holding (AB Volvo),Sweden/AB Volvo,"$112,500 ","$48,000 ","$64,500 "
VT Halter Marine,Singapore/ST Engineering,"$11,200 ",$0 ,"$11,200 "
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$25,500 ","$18,500 ","$7,000 "
Westinghouse Electric (Brookfield Asset Management),Canada/Brookfield Asset Management,"$43,500 ","$8,000 ","$35,500 "
Wexler & Walker Public Policy Assoc (WPP plc),UK/WPP plc,$0 ,$0 ,$0 
WSP USA,Canada/WSP Global,"$147,250 ","$108,750 ","$38,500 "
XL America (AXA),France/AXA,$0 ,$0 ,$0 
ZF Automotive US (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,"$24,500 ","$14,500 ","$10,000 "
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$267,500 ","$143,000 ","$124,500 "
